heads,fitted_damage_nats,positional_damage_nats,content_gain_nats
40,0.6106138825416565,0.6135565936565399,0.002942711114883423
80,0.8125309944152832,0.8143599033355713,0.001828908920288086
120,1.109059751033783,1.1137023568153381,0.004642605781555176
160,1.3757867217063904,1.3785490989685059,0.0027623772621154785
200,1.7116671204566956,1.718357801437378,0.006690680980682373
256,1.840342104434967,1.841330111026764,0.000988006591796875
